ID,Lat,Long,Address
1,23.57457655,58.12086125,"Al Khawd, Oman"
2,2.03309773,45.32264565,"Dagmada Waaberi, Mogadishu, Somalia"
3,2.04079502,45.30499841,"Hodan, Mogadishu, Somalia"
4,2.05326028,45.2940646,"373V+8H, Mogadishu, Somalia"
5,2.09331827,45.37905093,"Degmada Heliwaa, Mogadishu, Somalia"
6,2.07906336,45.41143389,"Degmada Heliwaa, Somalia"
7,2.07687304,45.25457644,"Dagmada Daynile, Somalia"
8,2.07376117,45.26852418,"Dagmada Daynile, Somalia"
9,23.57051481,58.14742788,"H4CW+5XW, Seeb, Oman"
10,23.50204373,58.24526866,"G62W+R23, Unnamed Road, Mughrah, Oman"
11,23.5028301,58.24405486,"G63V+3PM, Muscat, Oman"
